Age,Gender,MonthlyCharges,Tenure,NumProducts,HasComplained,Churn
56,Female,27,12,3,1,0
69,Female,46,50,1,0,0
46,Male,46,35,1,0,0
32,Male,117,33,4,0,1
60,Female,40,33,2,0,0
25,Male,49,61,1,1,1
38,Male,116,51,1,1,1
56,Male,47,43,4,1,0
36,Female,83,12,4,1,1
40,Female,116,67,2,0,1
28,Female,88,65,4,0,0
28,Male,80,33,3,0,0
41,Male,67,40,4,1,0
53,Female,38,43,3,0,0
57,Female,23,44,2,1,0
41,Female,54,29,2,1,1
20,Female,83,13,2,0,1
39,Male,68,12,2,0,0
19,Female,36,46,2,0,0
41,Male,63,2,3,1,1
61,Female,111,35,3,0,0
47,Male,49,8,2,1,0
55,Female,112,26,4,0,0
19,Female,65,34,1,1,1
38,Female,25,7,2,1,0
50,Female,118,68,4,0,1
29,Male,56,58,1,1,1
39,Female,43,29,2,1,1
61,Male,112,36,2,0,1
42,Male,65,21,3,1,1
66,Male,72,36,1,0,0
44,Male,114,10,1,1,1
59,Female,118,24,4,0,0
45,Male,79,64,3,0,0
33,Male,116,49,3,1,1
32,Male,82,36,3,1,1
64,Female,104,24,3,1,1
68,Female,51,23,1,1,1
61,Female,106,62,1,1,1
69,Female,52,37,2,0,0
20,Male,86,12,2,1,1
54,Male,37,55,3,0,0
68,Female,44,13,3,0,0
24,Male,114,23,3,1,1
38,Male,73,30,2,0,0
26,Male,77,17,4,0,0
56,Female,86,62,4,0,1
35,Female,65,13,2,0,0
21,Male,43,59,2,1,0
42,Female,51,19,2,0,0
31,Female,66,49,2,1,0
67,Female,105,12,2,1,1
26,Female,42,61,2,0,0
43,Female,85,19,3,1,1
19,Male,46,9,3,1,0
37,Female,21,71,3,1,1
45,Male,109,28,3,0,1
64,Male,36,52,2,1,0
24,Female,52,16,4,1,1
61,Male,28,69,1,1,1
25,Male,62,12,2,0,0
64,Male,67,25,1,1,1
52,Female,58,52,4,0,0
31,Female,112,53,3,0,1
34,Male,61,23,4,0,0
53,Female,45,16,2,0,0
67,Female,118,57,3,0,1
57,Female,69,39,2,0,0
21,Female,44,53,3,1,0
19,Male,43,42,1,0,0
23,Male,32,58,1,1,1
59,Female,79,39,1,1,1
21,Female,26,14,4,0,0
46,Male,76,5,2,1,1
35,Male,55,35,4,1,1
43,Female,64,18,1,1,1
61,Male,39,9,2,1,1
51,Female,84,58,1,0,1
27,Female,27,17,4,1,0
53,Male,35,7,4,0,0
31,Male,33,46,4,1,1
48,Female,95,13,1,1,1
65,Female,106,40,2,0,1
32,Male,34,42,2,1,0
25,Female,111,9,1,1,1
31,Male,117,50,2,1,1
40,Female,85,27,1,0,1
57,Male,51,66,2,1,0
38,Male,106,5,3,0,1
33,Male,82,29,3,1,1
62,Female,105,37,4,0,0
35,Female,70,38,3,0,0
64,Male,44,8,3,1,0
41,Female,77,65,3,1,0
43,Male,82,17,1,0,1
42,Male,81,71,3,0,1
62,Female,41,45,3,1,1
58,Female,77,4,4,0,0
46,Male,77,36,3,1,0
32,Female,105,70,3,1,1
62,Female,68,31,2,1,0
18,Male,71,19,4,1,0
42,Male,61,61,4,0,0
24,Female,89,54,4,1,1
26,Male,34,39,4,0,0
41,Male,73,19,4,1,0
18,Female,79,39,4,0,0
61,Male,116,67,1,1,1
25,Male,27,45,3,0,0
41,Female,72,13,4,0,0
28,Female,79,58,3,1,0
68,Male,24,20,3,1,1
34,Male,87,61,1,1,1
25,Female,25,39,4,1,1
52,Female,115,1,2,0,1
52,Female,113,3,1,1,1
50,Female,66,62,2,0,0
22,Male,118,63,3,0,1
59,Female,74,25,3,1,0
56,Female,59,56,1,0,0
58,Male,71,33,1,0,0
45,Female,35,38,2,0,0
24,Male,32,6,4,0,0
26,Female,49,58,2,1,0
25,Female,38,44,1,1,1
29,Female,36,45,2,1,0
51,Male,82,32,1,1,1
50,Male,38,45,2,0,0
65,Female,111,61,1,0,1
40,Male,77,47,1,1,1
41,Male,74,21,1,1,1
54,Male,109,36,4,1,1
52,Male,109,19,2,0,1
61,Male,81,20,2,1,1
57,Male,42,57,2,1,0
39,Female,28,18,1,1,1
44,Female,31,47,2,0,0
52,Male,20,49,2,0,0
18,Female,77,14,1,0,0
52,Female,20,15,3,0,0
54,Female,53,31,1,0,0
64,Female,115,1,2,0,1
31,Male,67,54,1,0,0
20,Female,108,3,3,0,1
18,Female,20,16,1,1,1
22,Male,35,57,2,1,0
43,Male,80,12,3,0,0
31,Female,83,16,4,0,0
56,Female,82,24,2,1,1
44,Female,88,28,3,0,0
26,Female,41,8,3,0,0
32,Female,112,36,4,0,1
32,Female,86,8,1,1,1
