Age,Purchase
24,752
21,1247
28,1356
25,974
22,1582
24,1010
27,1999
20,1199
24,1475
28,689
28,1457
25,1186
22,1457
21,1062
25,1767
25,1331
20,1654
23,1146
22,520
19,1340
25,666
29,1797
23,887
19,1100
29,815
22,513
18,741
29,1276
27,1869
23,1064
31,3367
49,3152
44,4027
36,4695
41,3495
37,3162
44,3522
32,4640
43,2391
46,3698
33,2418
47,4336
37,2378
33,3796
31,4278
35,4088
39,4182
33,2200
47,3863
41,2779
31,4977
39,2502
33,4454
43,3751
45,2804
44,4146
37,4731
43,3895
37,4773
45,3570
42,2960
47,4660
44,3485
42,4690
38,3028
44,2502
42,4814
30,2397
36,2870
38,4842
58,6400
64,6306
64,7680
59,7675
62,5972
68,6768
56,6282
66,8430
69,5709
53,6479
54,6434
56,5648
62,5317
64,8748
60,8296
53,8890
62,6257
56,5683
68,5663
51,6998
59,8898
62,8445
55,8743
61,6631
61,6495
69,8304
60,8763
56,6136
50,6853
50,6520
